"2004 Florida Building Code:  Bundle (Premium) 50, 1y",FL-P-2004-000010-50u1y,8708SFL04D
"2004 Florida Building Code:  Bundle (Premium) 50, 3y",FL-P-2004-000010-50u3y,8708SFL04K
"2004 Florida Building Code:  Bundle (Premium) 5, 1y",FL-P-2004-000010-5u1y,8708SFL04B
"2004 Florida Building Code:  Bundle (Premium) 5, 3y",FL-P-2004-000010-5u3y,8708SFL04H
"2004 Florida Building Code:  Bundle (Premium) Corporate, 1y",FL-P-2004-000010-Corporateu1y,8708SFL04
"2004 Florida Building Code:  Bundle (Premium) Corporate, 3y",FL-P-2004-000010-Corporateu3y,8708SFL04L
"2004 Florida Building Code:  Bundle (Premium) Renewal 1, 1y",FL-P-2004-000010-1u1yR,8708SFL04AR
"2004 Florida Building Code:  Bundle (Premium) Renewal 1, 3y",FL-P-2004-000010-1u3yR,8708SFL04GR
"2004 Florida Building Code:  Bundle (Premium) Renewal 1, 6m",FL-P-2004-000010-1u6mR,8708SFL04R
"2004 Florida Building Code:  Bundle (Premium) Renewal 25, 1y",FL-P-2004-000010-25u1yR,8708SFL04CR
"2004 Florida Building Code:  Bundle (Premium) Renewal 25, 3y",FL-P-2004-000010-25u3yR,8708SFL04JR
"2004 Florida Building Code:  Bundle (Premium) Renewal 50, 1y",FL-P-2004-000010-50u1yR,8708SFL04DR
"2004 Florida Building Code:  Bundle (Premium) Renewal 50, 3y",FL-P-2004-000010-50u3yR,8708SFL04KR
"2004 Florida Building Code:  Bundle (Premium) Renewal 5, 1y",FL-P-2004-000010-5u1yR,8708SFL04BR
"2004 Florida Building Code:  Bundle (Premium) Renewal 5, 3y",FL-P-2004-000010-5u3yR,8708SFL04HR
"2004 Florida Building Code:  Bundle (Premium) Renewal Corporate, 1y",FL-P-2004-000010-Corporateu1yR,8708SFL04FR
"2004 Florida Building Code:  Bundle (Premium) Renewal Corporate, 3y",FL-P-2004-000010-Corporateu3yR,8708SFL04LR
"Fire and Property Maintenance Codes of New York State, 2007 Combo (Premium) 1, 1y",NY-P-2007-000012-1u1y,8708SNY07A
"Fire and Property Maintenance Codes of New York State, 2007 Combo (Premium) 1, 3y",NY-P-2007-000012-1u3y,8708SNY07G
"Fire and Property Maintenance Codes of New York State, 2007 Combo (Premium) 1, 6m",NY-P-2007-000012-1u6m,8708SNY07
"Fire and Property Maintenance Codes of New York State, 2007 Combo (Premium) 25, 1y",NY-P-2007-000012-25u1y,8708SNY07C
"Fire and Property Maintenance Codes of New York State, 2007 Combo (Premium) 25, 3y",NY-P-2007-000012-25u3y,8708SNY07J
"Fire and Property Maintenance Codes of New York State, 2007 Combo (Premium) 50, 1y",NY-P-2007-000012-50u1y,8708SNY07D
"Fire and Property Maintenance Codes of New York State, 2007 Combo (Premium) 50, 3y",NY-P-2007-000012-50u3y,8708SNY07K
"Fire and Property Maintenance Codes of New York State, 2007 Combo (Premium) 5, 1y",NY-P-2007-000012-5u1y,8708SNY07B
"Fire and Property Maintenance Codes of New York State, 2007 Combo (Premium) 5, 3y",NY-P-2007-000012-5u3y,8708SNY07H
"Fire and Property Maintenance Codes of New York State, 2007 Combo (Premium) Corporate, 1y",NY-P-2007-000012-Corporateu1y,8708SNY07
"Fire and Property Maintenance Codes of New York State, 2007 Combo (Premium) Corporate, 3y",NY-P-2007-000012-Corporateu3y,8708SNY07L
"Fire and Property Maintenance Codes of New York State, 2007 Combo (Premium) Renewal 1, 1y",NY-P-2007-000012-1u1yR,8708SNY07AR
"Fire and Property Maintenance Codes of New York State, 2007 Combo (Premium) Renewal 1, 3y",NY-P-2007-000012-1u3yR,8708SNY07GR
"Fire and Property Maintenance Codes of New York State, 2007 Combo (Premium) Renewal 1, 6m",NY-P-2007-000012-1u6mR,8708SNY07R
"Fire and Property Maintenance Codes of New York State, 2007 Combo (Premium) Renewal 25, 1y",NY-P-2007-000012-25u1yR,8708SNY07CR
"Fire and Property Maintenance Codes of New York State, 2007 Combo (Premium) Renewal 25, 3y",NY-P-2007-000012-25u3yR,8708SNY07JR
"Fire and Property Maintenance Codes of New York State, 2007 Combo (Premium) Renewal 50, 1y",NY-P-2007-000012-50u1yR,8708SNY07DR
"Fire and Property Maintenance Codes of New York State, 2007 Combo (Premium) Renewal 50, 3y",NY-P-2007-000012-50u3yR,8708SNY07KR
"Fire and Property Maintenance Codes of New York State, 2007 Combo (Premium) Renewal 5, 1y",NY-P-2007-000012-5u1yR,8708SNY07BR
"Fire and Property Maintenance Codes of New York State, 2007 Combo (Premium) Renewal 5, 3y",NY-P-2007-000012-5u3yR,8708SNY07HR
"Fire and Property Maintenance Codes of New York State, 2007 Combo (Premium) Renewal Corporate, 1y",NY-P-2007-000012-Corporateu1yR,8708SNY07FR
"Fire and Property Maintenance Codes of New York State, 2007 Combo (Premium) Renewal Corporate, 3y",NY-P-2007-000012-Corporateu3yR,8708SNY07LR
"2006 Complete International Commentary Collection (Premium) 1, 1y",CC-P-2006-000010-1u1y,8709S06A
"2006 Complete International Commentary Collection (Premium) 1, 3y",CC-P-2006-000010-1u3y,8709S06G
"2006 Complete International Commentary Collection (Premium) 1, 6m",CC-P-2006-000010-1u6m,8709S06
"2006 Complete International Commentary Collection (Premium) 25, 1y",CC-P-2006-000010-25u1y,8709S06C
"2006 Complete International Commentary Collection (Premium) 25, 3y",CC-P-2006-000010-25u3y,8709S06J
"2006 Complete International Commentary Collection (Premium) 50, 1y",CC-P-2006-000010-50u1y,8709S06D
"2006 Complete International Commentary Collection (Premium) 50, 3y",CC-P-2006-000010-50u3y,8709S06K
"2006 Complete International Commentary Collection (Premium) 5, 1y",CC-P-2006-000010-5u1y,8709S06B
"2006 Complete International Commentary Collection (Premium) 5, 3y",CC-P-2006-000010-5u3y,8709S06H
"2006 Complete International Commentary Collection (Premium) Corporate, 1y",CC-P-2006-000010-Corporateu1y,8709S06
"2006 Complete International Commentary Collection (Premium) Corporate, 3y",CC-P-2006-000010-Corporateu3y,8709S06L
"2006 Complete International Commentary Collection (Premium) Renewal 1, 1y",CC-P-2006-000010-1u1yR,8709S06AR
"2006 Complete International Commentary Collection (Premium) Renewal 1, 3y",CC-P-2006-000010-1u3yR,8709S06GR
"2006 Complete International Commentary Collection (Premium) Renewal 1, 6m",CC-P-2006-000010-1u6mR,8709S06R
"2006 Complete International Commentary Collection (Premium) Renewal 25, 1y",CC-P-2006-000010-25u1yR,8709S06CR
"2006 Complete International Commentary Collection (Premium) Renewal 25, 3y",CC-P-2006-000010-25u3yR,8709S06JR
"2006 Complete International Commentary Collection (Premium) Renewal 50, 1y",CC-P-2006-000010-50u1yR,8709S06DR
"2006 Complete International Commentary Collection (Premium) Renewal 50, 3y",CC-P-2006-000010-50u3yR,8709S06KR
"2006 Complete International Commentary Collection (Premium) Renewal 5, 1y",CC-P-2006-000010-5u1yR,8709S06BR
"2006 Complete International Commentary Collection (Premium) Renewal 5, 3y",CC-P-2006-000010-5u3yR,8709S06HR
"2006 Complete International Commentary Collection (Premium) Renewal Corporate, 1y",CC-P-2006-000010-Corporateu1yR,8709S06FR
"2006 Complete International Commentary Collection (Premium) Renewal Corporate, 3y",CC-P-2006-000010-Corporateu3yR,8709S06LR
"2006 IBC",CC-P-2006-000001-1u1y,870S06A
"2006 IBC",CC-P-2006-000001-1u3y,870S06G
"2006 IBC",CC-P-2006-000001-1u6m,870S06
"2006 IBC",CC-P-2006-000001-25u1y,870S06C
"2006 IBC",CC-P-2006-000001-25u3y,870S06J
"2006 IBC",CC-P-2006-000001-50u1y,870S06D
"2006 IBC",CC-P-2006-000001-50u3y,870S06K
"2006 IBC",CC-P-2006-000001-5u1y,870S06B
"2006 IBC",CC-P-2006-000001-5u3y,870S06H
"2006 IBC",CC-P-2006-000001-Corporateu1y,870S06
"2006 IBC",CC-P-2006-000001-Corporateu3y,870S06L
"2006 IBC",CC-P-2006-000001-1u1yR,870S06AR
"2006 IBC",CC-P-2006-000001-1u3yR,870S06GR
"2006 IBC",CC-P-2006-000001-1u6mR,870S06R
"2006 IBC",CC-P-2006-000001-25u1yR,870S06CR
"2006 IBC",CC-P-2006-000001-25u3yR,870S06JR
"2006 IBC",CC-P-2006-000001-50u1yR,870S06DR
"2006 IBC",CC-P-2006-000001-50u3yR,870S06KR
"2006 IBC",CC-P-2006-000001-5u1yR,870S06BR
"2006 IBC",CC-P-2006-000001-5u3yR,870S06HR
"2006 IBC",CC-P-2006-000001-Corporateu1yR,870S06FR
"2006 IBC",CC-P-2006-000001-Corporateu3yR,870S06LR
"2006 IBC",CC-P-2006-000011-1u1y,870S061A
"2006 IBC",CC-P-2006-000011-1u3y,870S061G
"2006 IBC",CC-P-2006-000011-1u6m,870S061
"2006 IBC",CC-P-2006-000011-25u1y,870S061C
"2006 IBC",CC-P-2006-000011-25u3y,870S061J
"2006 IBC",CC-P-2006-000011-50u1y,870S061D
"2006 IBC",CC-P-2006-000011-50u3y,870S061K
"2006 IBC",CC-P-2006-000011-5u1y,870S061B
"2006 IBC",CC-P-2006-000011-5u3y,870S061H
"2006 IBC",CC-P-2006-000011-Corporateu1y,870S061
"2006 IBC",CC-P-2006-000011-Corporateu3y,870S061L
"2006 IBC",CC-P-2006-000011-1u1yR,870S061AR
"2006 IBC",CC-P-2006-000011-1u3yR,870S061GR
"2006 IBC",CC-P-2006-000011-1u6mR,870S061R
"2006 IBC",CC-P-2006-000011-25u1yR,870S061CR
"2006 IBC",CC-P-2006-000011-25u3yR,870S061JR
"2006 IBC",CC-P-2006-000011-50u1yR,870S061DR
"2006 IBC",CC-P-2006-000011-50u3yR,870S061KR
"2006 IBC",CC-P-2006-000011-5u1yR,870S061BR
"2006 IBC",CC-P-2006-000011-5u3yR,870S061HR
"2006 IBC",CC-P-2006-000011-Corporateu1yR,870S061FR
"2006 IBC",CC-P-2006-000011-Corporateu3yR,870S061LR
"2006 IBC",CC-P-2006-000012-1u1y,870S062A
"2006 IBC",CC-P-2006-000012-1u3y,870S062G
"2006 IBC",CC-P-2006-000012-1u6m,870S062
"2006 IBC",CC-P-2006-000012-25u1y,870S062C
"2006 IBC",CC-P-2006-000012-25u3y,870S062J
"2006 IBC",CC-P-2006-000012-50u1y,870S062D
"2006 IBC",CC-P-2006-000012-50u3y,870S062K
"2006 IBC",CC-P-2006-000012-5u1y,870S062B
"2006 IBC",CC-P-2006-000012-5u3y,870S062H
"2006 IBC",CC-P-2006-000012-Corporateu1y,870S062
"2006 IBC",CC-P-2006-000012-Corporateu3y,870S062L
"2006 IBC",CC-P-2006-000012-1u1yR,870S062AR
"2006 IBC",CC-P-2006-000012-1u3yR,870S062GR
"2006 IBC",CC-P-2006-000012-1u6mR,870S062R
"2006 IBC",CC-P-2006-000012-25u1yR,870S062CR
"2006 IBC",CC-P-2006-000012-25u3yR,870S062JR
"2006 IBC",CC-P-2006-000012-50u1yR,870S062DR
"2006 IBC",CC-P-2006-000012-50u3yR,870S062KR
"2006 IBC",CC-P-2006-000012-5u1yR,870S062BR
"2006 IBC",CC-P-2006-000012-5u3yR,870S062HR
"2006 IBC",CC-P-2006-000012-Corporateu1yR,870S062FR
"2006 IBC",CC-P-2006-000012-Corporateu3yR,870S062LR
"2000 International Residential Code",IC-P-2000-000002-1u1y,8710S00A
"2000 International Residential Code",IC-P-2000-000002-1u3y,8710S00G
"2000 International Residential Code",IC-P-2000-000002-1u6m,8710S00
"2000 International Residential Code",IC-P-2000-000002-25u1y,8710S00C
"2000 International Residential Code",IC-P-2000-000002-25u3y,8710S00J
"2000 International Residential Code",IC-P-2000-000002-50u1y,8710S00D
"2000 International Residential Code",IC-P-2000-000002-50u3y,8710S00K
"2000 International Residential Code",IC-P-2000-000002-5u1y,8710S00B
"2000 International Residential Code",IC-P-2000-000002-5u3y,8710S00H
"2000 International Residential Code",IC-P-2000-000002-Corporateu1y,8710S00
"2000 International Residential Code",IC-P-2000-000002-Corporateu3y,8710S00L
"2000 International Residential Code",IC-P-2000-000002-1u1yR,8710S00AR
"2000 International Residential Code",IC-P-2000-000002-1u3yR,8710S00GR
"2000 International Residential Code",IC-P-2000-000002-1u6mR,8710S00R
"2000 International Residential Code",IC-P-2000-000002-25u1yR,8710S00CR
"2000 International Residential Code",IC-P-2000-000002-25u3yR,8710S00JR
"2000 International Residential Code",IC-P-2000-000002-50u1yR,8710S00DR
"2000 International Residential Code",IC-P-2000-000002-50u3yR,8710S00KR
"2000 International Residential Code",IC-P-2000-000002-5u1yR,8710S00BR
"2000 International Residential Code",IC-P-2000-000002-5u3yR,8710S00HR
"2000 International Residential Code",IC-P-2000-000002-Corporateu1yR,8710S00FR
"2000 International Residential Code",IC-P-2000-000002-Corporateu3yR,8710S00LR
"2003 International Residential Code",IC-P-2003-000002-1u1y,8710S03A
"2003 International Residential Code",IC-P-2003-000002-1u3y,8710S03G
"2003 International Residential Code",IC-P-2003-000002-1u6m,8710S03
"2003 International Residential Code",IC-P-2003-000002-25u1y,8710S03C
"2003 International Residential Code",IC-P-2003-000002-25u3y,8710S03J
"2003 International Residential Code",IC-P-2003-000002-50u1y,8710S03D
"2003 International Residential Code",IC-P-2003-000002-50u3y,8710S03K
"2003 International Residential Code",IC-P-2003-000002-5u1y,8710S03B
"2003 International Residential Code",IC-P-2003-000002-5u3y,8710S03H
"2003 International Residential Code",IC-P-2003-000002-Corporateu1y,8710S03
"2003 International Residential Code",IC-P-2003-000002-Corporateu3y,8710S03L
"2003 International Residential Code",IC-P-2003-000002-1u1yR,8710S03AR
"2003 International Residential Code",IC-P-2003-000002-1u3yR,8710S03GR
"2003 International Residential Code",IC-P-2003-000002-1u6mR,8710S03R
"2003 International Residential Code",IC-P-2003-000002-25u1yR,8710S03CR
"2003 International Residential Code",IC-P-2003-000002-25u3yR,8710S03JR
"2003 International Residential Code",IC-P-2003-000002-50u1yR,8710S03DR
"2003 International Residential Code",IC-P-2003-000002-50u3yR,8710S03KR
"2003 International Residential Code",IC-P-2003-000002-5u1yR,8710S03BR
"2003 International Residential Code",IC-P-2003-000002-5u3yR,8710S03HR
"2003 International Residential Code",IC-P-2003-000002-Corporateu1yR,8710S03FR
"2003 International Residential Code",IC-P-2003-000002-Corporateu3yR,8710S03LR
"2006 International Residential Code",IC-P-2006-000002-1u1y,8710S06A
"2006 International Residential Code",IC-P-2006-000002-1u3y,8710S06G
"2006 International Residential Code",IC-P-2006-000002-1u6m,8710S06
"2006 International Residential Code",IC-P-2006-000002-25u1y,8710S06C
"2006 International Residential Code",IC-P-2006-000002-25u3y,8710S06J
"2006 International Residential Code",IC-P-2006-000002-50u1y,8710S06D
"2006 International Residential Code",IC-P-2006-000002-50u3y,8710S06K
"2006 International Residential Code",IC-P-2006-000002-5u1y,8710S06B
"2006 International Residential Code",IC-P-2006-000002-5u3y,8710S06H
"2006 International Residential Code",IC-P-2006-000002-Corporateu1y,8710S06
"2006 International Residential Code",IC-P-2006-000002-Corporateu3y,8710S06L
"2006 International Residential Code",IC-P-2006-000002-1u1yR,8710S06AR
"2006 International Residential Code",IC-P-2006-000002-1u3yR,8710S06GR
"2006 International Residential Code",IC-P-2006-000002-1u6mR,8710S06R
"2006 International Residential Code",IC-P-2006-000002-25u1yR,8710S06CR
"2006 International Residential Code",IC-P-2006-000002-25u3yR,8710S06JR
"2006 International Residential Code",IC-P-2006-000002-50u1yR,8710S06DR
"2006 International Residential Code",IC-P-2006-000002-50u3yR,8710S06KR
"2006 International Residential Code",IC-P-2006-000002-5u1yR,8710S06BR
"2006 International Residential Code",IC-P-2006-000002-5u3yR,8710S06HR
"2006 International Residential Code",IC-P-2006-000002-Corporateu1yR,8710S06FR
"2006 International Residential Code",IC-P-2006-000002-Corporateu3yR,8710S06LR
"1995 One and Two Family Dwelling Code (Premium) 1, 1y",IC-P-1995-000001-1u1y,8710S95A
"1995 One and Two Family Dwelling Code (Premium) 1, 3y",IC-P-1995-000001-1u3y,8710S95G
"1995 One and Two Family Dwelling Code (Premium) 1, 6m",IC-P-1995-000001-1u6m,8710S95
"1995 One and Two Family Dwelling Code (Premium) 25, 1y",IC-P-1995-000001-25u1y,8710S95C
"1995 One and Two Family Dwelling Code (Premium) 25, 3y",IC-P-1995-000001-25u3y,8710S95J
"1995 One and Two Family Dwelling Code (Premium) 50, 1y",IC-P-1995-000001-50u1y,8710S95D
"1995 One and Two Family Dwelling Code (Premium) 50, 3y",IC-P-1995-000001-50u3y,8710S95K
"1995 One and Two Family Dwelling Code (Premium) 5, 1y",IC-P-1995-000001-5u1y,8710S95B
"1995 One and Two Family Dwelling Code (Premium) 5, 3y",IC-P-1995-000001-5u3y,8710S95H
"1995 One and Two Family Dwelling Code (Premium) Corporate, 1y",IC-P-1995-000001-Corporateu1y,8710S95
"1995 One and Two Family Dwelling Code (Premium) Corporate, 3y",IC-P-1995-000001-Corporateu3y,8710S95L
"1995 One and Two Family Dwelling Code (Premium) Renewal 1, 1y",IC-P-1995-000001-1u1yR,8710S95AR
"1995 One and Two Family Dwelling Code (Premium) Renewal 1, 3y",IC-P-1995-000001-1u3yR,8710S95GR
"1995 One and Two Family Dwelling Code (Premium) Renewal 1, 6m",IC-P-1995-000001-1u6mR,8710S95R
"1995 One and Two Family Dwelling Code (Premium) Renewal 25, 1y",IC-P-1995-000001-25u1yR,8710S95CR
"1995 One and Two Family Dwelling Code (Premium) Renewal 25, 3y",IC-P-1995-000001-25u3yR,8710S95JR
"1995 One and Two Family Dwelling Code (Premium) Renewal 50, 1y",IC-P-1995-000001-50u1yR,8710S95DR
"1995 One and Two Family Dwelling Code (Premium) Renewal 50, 3y",IC-P-1995-000001-50u3yR,8710S95KR
"1995 One and Two Family Dwelling Code (Premium) Renewal 5, 1y",IC-P-1995-000001-5u1yR,8710S95BR
"1995 One and Two Family Dwelling Code (Premium) Renewal 5, 3y",IC-P-1995-000001-5u3yR,8710S95HR
"1995 One and Two Family Dwelling Code (Premium) Renewal Corporate, 1y",IC-P-1995-000001-Corporateu1yR,8710S95FR
"1995 One and Two Family Dwelling Code (Premium) Renewal Corporate, 3y",IC-P-1995-000001-Corporateu3yR,8710S95LR
"1998 International One and Two Family Dwelling Code (Premium) 1, 1y",IC-P-1998-000001-1u1y,8710S98A
"1998 International One and Two Family Dwelling Code (Premium) 1, 3y",IC-P-1998-000001-1u3y,8710S98G
"1998 International One and Two Family Dwelling Code (Premium) 1, 6m",IC-P-1998-000001-1u6m,8710S98
"1998 International One and Two Family Dwelling Code (Premium) 25, 1y",IC-P-1998-000001-25u1y,8710S98C
"1998 International One and Two Family Dwelling Code (Premium) 25, 3y",IC-P-1998-000001-25u3y,8710S98J
"1998 International One and Two Family Dwelling Code (Premium) 50, 1y",IC-P-1998-000001-50u1y,8710S98D
"1998 International One and Two Family Dwelling Code (Premium) 50, 3y",IC-P-1998-000001-50u3y,8710S98K
"1998 International One and Two Family Dwelling Code (Premium) 5, 1y",IC-P-1998-000001-5u1y,8710S98B
"1998 International One and Two Family Dwelling Code (Premium) 5, 3y",IC-P-1998-000001-5u3y,8710S98H
"1998 International One and Two Family Dwelling Code (Premium) Corporate, 1y",IC-P-1998-000001-Corporateu1y,8710S98
"1998 International One and Two Family Dwelling Code (Premium) Corporate, 3y",IC-P-1998-000001-Corporateu3y,8710S98L
"1998 International One and Two Family Dwelling Code (Premium) Renewal 1, 1y",IC-P-1998-000001-1u1yR,8710S98AR
"1998 International One and Two Family Dwelling Code (Premium) Renewal 1, 3y",IC-P-1998-000001-1u3yR,8710S98GR
"1998 International One and Two Family Dwelling Code (Premium) Renewal 1, 6m",IC-P-1998-000001-1u6mR,8710S98R
"1998 International One and Two Family Dwelling Code (Premium) Renewal 25, 1y",IC-P-1998-000001-25u1yR,8710S98CR
"1998 International One and Two Family Dwelling Code (Premium) Renewal 25, 3y",IC-P-1998-000001-25u3yR,8710S98JR
"1998 International One and Two Family Dwelling Code (Premium) Renewal 50, 1y",IC-P-1998-000001-50u1yR,8710S98DR
"1998 International One and Two Family Dwelling Code (Premium) Renewal 50, 3y",IC-P-1998-000001-50u3yR,8710S98KR
"1998 International One and Two Family Dwelling Code (Premium) Renewal 5, 1y",IC-P-1998-000001-5u1yR,8710S98BR
"1998 International One and Two Family Dwelling Code (Premium) Renewal 5, 3y",IC-P-1998-000001-5u3yR,8710S98HR
"1998 International One and Two Family Dwelling Code (Premium) Renewal Corporate, 1y",IC-P-1998-000001-Corporateu1yR,8710S98FR
"1998 International One and Two Family Dwelling Code (Premium) Renewal Corporate, 3y",IC-P-1998-000001-Corporateu3yR,8710S98LR
"2004 Florida Building Code:  Residential Volume (Premium) 1, 1y",FL-P-2004-000002-1u1y,8710SFL04A
"2004 Florida Building Code:  Residential Volume (Premium) 1, 3y",FL-P-2004-000002-1u3y,8710SFL04G
"2004 Florida Building Code:  Residential Volume (Premium) 1, 6m",FL-P-2004-000002-1u6m,8710SFL04
"2004 Florida Building Code:  Residential Volume (Premium) 25, 1y",FL-P-2004-000002-25u1y,8710SFL04C
"2004 Florida Building Code:  Residential Volume (Premium) 25, 3y",FL-P-2004-000002-25u3y,8710SFL04J
"2004 Florida Building Code:  Residential Volume (Premium) 50, 1y",FL-P-2004-000002-50u1y,8710SFL04D
"2004 Florida Building Code:  Residential Volume (Premium) 50, 3y",FL-P-2004-000002-50u3y,8710SFL04K
"2004 Florida Building Code:  Residential Volume (Premium) 5, 1y",FL-P-2004-000002-5u1y,8710SFL04B
"2004 Florida Building Code:  Residential Volume (Premium) 5, 3y",FL-P-2004-000002-5u3y,8710SFL04H
"2004 Florida Building Code:  Residential Volume (Premium) Corporate, 1y",FL-P-2004-000002-Corporateu1y,8710SFL04
"2004 Florida Building Code:  Residential Volume (Premium) Corporate, 3y",FL-P-2004-000002-Corporateu3y,8710SFL04L
"2004 Florida Building Code:  Residential Volume (Premium) Renewal 1, 1y",FL-P-2004-000002-1u1yR,8710SFL04AR
"2004 Florida Building Code:  Residential Volume (Premium) Renewal 1, 3y",FL-P-2004-000002-1u3yR,8710SFL04GR
"2004 Florida Building Code:  Residential Volume (Premium) Renewal 1, 6m",FL-P-2004-000002-1u6mR,8710SFL04R
"2004 Florida Building Code:  Residential Volume (Premium) Renewal 25, 1y",FL-P-2004-000002-25u1yR,8710SFL04CR
"2004 Florida Building Code:  Residential Volume (Premium) Renewal 25, 3y",FL-P-2004-000002-25u3yR,8710SFL04JR
"2004 Florida Building Code:  Residential Volume (Premium) Renewal 50, 1y",FL-P-2004-000002-50u1yR,8710SFL04DR
"2004 Florida Building Code:  Residential Volume (Premium) Renewal 50, 3y",FL-P-2004-000002-50u3yR,8710SFL04KR
"2004 Florida Building Code:  Residential Volume (Premium) Renewal 5, 1y",FL-P-2004-000002-5u1yR,8710SFL04BR
"2004 Florida Building Code:  Residential Volume (Premium) Renewal 5, 3y",FL-P-2004-000002-5u3yR,8710SFL04HR
"2004 Florida Building Code:  Residential Volume (Premium) Renewal Corporate, 1y",FL-P-2004-000002-Corporateu1yR,8710SFL04FR
"2004 Florida Building Code:  Residential Volume (Premium) Renewal Corporate, 3y",FL-P-2004-000002-Corporateu3yR,8710SFL04LR
"2007 Florida Building Code - Residential (Premium) 1, 1y",FL-P-2007-000002-1u1y,8710SFL07A
"2007 Florida Building Code - Residential (Premium) 1, 3y",FL-P-2007-000002-1u3y,8710SFL07G
"2007 Florida Building Code - Residential (Premium) 1, 6m",FL-P-2007-000002-1u6m,8710SFL07
"2007 Florida Building Code - Residential (Premium) 25, 1y",FL-P-2007-000002-25u1y,8710SFL07C
"2007 Florida Building Code - Residential (Premium) 25, 3y",FL-P-2007-000002-25u3y,8710SFL07J
"2007 Florida Building Code - Residential (Premium) 50, 1y",FL-P-2007-000002-50u1y,8710SFL07D
"2007 Florida Building Code - Residential (Premium) 50, 3y",FL-P-2007-000002-50u3y,8710SFL07K
"2007 Florida Building Code - Residential (Premium) 5, 1y",FL-P-2007-000002-5u1y,8710SFL07B
"2007 Florida Building Code - Residential (Premium) 5, 3y",FL-P-2007-000002-5u3y,8710SFL07H
"2007 Florida Building Code - Residential (Premium) Corporate, 1y",FL-P-2007-000002-Corporateu1y,8710SFL07
"2007 Florida Building Code - Residential (Premium) Corporate, 3y",FL-P-2007-000002-Corporateu3y,8710SFL07L
"2007 Florida Building Code - Residential (Premium) Renewal 1, 1y",FL-P-2007-000002-1u1yR,8710SFL07AR
"2007 Florida Building Code - Residential (Premium) Renewal 1, 3y",FL-P-2007-000002-1u3yR,8710SFL07GR
"2007 Florida Building Code - Residential (Premium) Renewal 1, 6m",FL-P-2007-000002-1u6mR,8710SFL07R
"2007 Florida Building Code - Residential (Premium) Renewal 25, 1y",FL-P-2007-000002-25u1yR,8710SFL07CR
"2007 Florida Building Code - Residential (Premium) Renewal 25, 3y",FL-P-2007-000002-25u3yR,8710SFL07JR
"2007 Florida Building Code - Residential (Premium) Renewal 50, 1y",FL-P-2007-000002-50u1yR,8710SFL07DR
"2007 Florida Building Code - Residential (Premium) Renewal 50, 3y",FL-P-2007-000002-50u3yR,8710SFL07KR
"2007 Florida Building Code - Residential (Premium) Renewal 5, 1y",FL-P-2007-000002-5u1yR,8710SFL07BR
"2007 Florida Building Code - Residential (Premium) Renewal 5, 3y",FL-P-2007-000002-5u3yR,8710SFL07HR
"2007 Florida Building Code - Residential (Premium) Renewal Corporate, 1y",FL-P-2007-000002-Corporateu1yR,8710SFL07FR
"2007 Florida Building Code - Residential (Premium) Renewal Corporate, 3y",FL-P-2007-000002-Corporateu3yR,8710SFL07LR
"2002 Kentucky Residential Code (Premium) 1, 1y",KY-P-2002-000001-1u1y,8710SKY02A
"2002 Kentucky Residential Code (Premium) 1, 3y",KY-P-2002-000001-1u3y,8710SKY02G
"2002 Kentucky Residential Code (Premium) 1, 6m",KY-P-2002-000001-1u6m,8710SKY02
"2002 Kentucky Residential Code (Premium) 25, 1y",KY-P-2002-000001-25u1y,8710SKY02C
"2002 Kentucky Residential Code (Premium) 25, 3y",KY-P-2002-000001-25u3y,8710SKY02J
"2002 Kentucky Residential Code (Premium) 50, 1y",KY-P-2002-000001-50u1y,8710SKY02D
"2002 Kentucky Residential Code (Premium) 50, 3y",KY-P-2002-000001-50u3y,8710SKY02K
"2002 Kentucky Residential Code (Premium) 5, 1y",KY-P-2002-000001-5u1y,8710SKY02B
"2002 Kentucky Residential Code (Premium) 5, 3y",KY-P-2002-000001-5u3y,8710SKY02H
"2002 Kentucky Residential Code (Premium) Corporate, 1y",KY-P-2002-000001-Corporateu1y,8710SKY02
"2002 Kentucky Residential Code (Premium) Corporate, 3y",KY-P-2002-000001-Corporateu3y,8710SKY02L
"2002 Kentucky Residential Code (Premium) Renewal 1, 1y",KY-P-2002-000001-1u1yR,8710SKY02AR
"2002 Kentucky Residential Code (Premium) Renewal 1, 3y",KY-P-2002-000001-1u3yR,8710SKY02GR
"2002 Kentucky Residential Code (Premium) Renewal 1, 6m",KY-P-2002-000001-1u6mR,8710SKY02R
"2002 Kentucky Residential Code (Premium) Renewal 25, 1y",KY-P-2002-000001-25u1yR,8710SKY02CR
"2002 Kentucky Residential Code (Premium) Renewal 25, 3y",KY-P-2002-000001-25u3yR,8710SKY02JR
"2002 Kentucky Residential Code (Premium) Renewal 50, 1y",KY-P-2002-000001-50u1yR,8710SKY02DR
"2002 Kentucky Residential Code (Premium) Renewal 50, 3y",KY-P-2002-000001-50u3yR,8710SKY02KR
"2002 Kentucky Residential Code (Premium) Renewal 5, 1y",KY-P-2002-000001-5u1yR,8710SKY02BR
"2002 Kentucky Residential Code (Premium) Renewal 5, 3y",KY-P-2002-000001-5u3yR,8710SKY02HR
"2002 Kentucky Residential Code (Premium) Renewal Corporate, 1y",KY-P-2002-000001-Corporateu1yR,8710SKY02FR
